Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-03-05T05:31:07Z,32.3182,-86.9023,498076,10094,295690,192292,1,10158.213487763565,2311207,NA,2.0265983504525416,84000001,USA,47136.850842870495,NA
Alaska,US,2021-03-05T05:31:07Z,61.3707,-152.4044,59138,303,NA,58835,2,8083.986631034318,1724484,NA,0.512360918529541,84000002,USA,235731.7731650138,NA
American Samoa,US,2021-03-05T05:31:07Z,-14.271,-170.132,0,0,NA,0,60,0,2140,NA,NA,16,ASM,3846.084721698028,NA
Arizona,US,2021-03-05T05:31:07Z,33.7298,-111.4312,821108,16185,NA,804923,4,11280.94415540541,3797616,NA,1.9711170759510321,84000004,USA,52174.2499399276,NA
Arkansas,US,2021-03-05T05:31:07Z,34.9697,-92.3731,323756,5273,314207,4276,5,10728.198385315944,2719229,NA,1.6286956844043046,84000005,USA,90106.21630828244,NA
California,US,2021-03-05T08:30:53Z,36.1162,-119.6816,3587567,53466,NA,3534101,6,9079.638470353844,49147685,NA,1.4903136303795859,84000006,USA,124386.02859677118,NA
Colorado,US,2021-03-05T05:31:07Z,39.0598,-105.3111,433021,5974,NA,427047,8,7519.375779684987,6310233,NA,1.379609764884382,84000008,USA,109576.702248549,NA
Connecticut,US,2021-03-05T05:31:07Z,41.5978,-72.7554,284500,7693,NA,276807,9,7979.72224956925,6478498,NA,2.7040421792618634,84000009,USA,181710.42050752157,NA
Delaware,US,2021-03-05T05:31:07Z,39.3185,-75.5071,87643,1444,NA,86199,10,9000.435423778246,1413640,NA,1.647593076457903,84000010,USA,145172.75233013337,NA
Diamond Princess,US,2021-03-05T05:31:07Z,NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,USA,NA,NA
District of Columbia,US,2021-03-05T05:31:07Z,38.8974,-77.0268,41014,1024,29287,10703,11,5811.414539730131,1241816,NA,2.4967084410201394,84000011,USA,175957.17457623035,NA
Florida,US,2021-03-05T05:31:07Z,27.7663,-81.6868,1930232,31387,NA,1898845,12,8987.129323727171,22079838,NA,1.6260739641659656,84000012,USA,102803.37262719998,NA
Georgia,US,2021-03-05T05:31:07Z,33.0406,-83.6431,1017428,17750,NA,999678,13,9582.62659404264,7279616,NA,1.7445951949425411,84000013,USA,68562.927181106,NA
Grand Princess,US,2021-03-05T05:31:07Z,NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233015,84099999,USA,NA,NA
Guam,US,2021-03-05T05:31:07Z,13.4443,144.7937,7747,131,7590,26,66,4717.193674685957,120096,NA,1.690977152446108,316,GUM,73127.15781013097,NA
Hawaii,US,2021-03-05T05:31:07Z,21.0943,-157.4983,27890,440,NA,27450,15,1969.8108303575464,1131093,NA,1.5776263893868767,84000015,USA,79886.67054649007,NA
Idaho,US,2021-03-05T05:31:07Z,44.2405,-114.4788,172587,1876,95222,75489,16,9657.567016308863,643358,NA,1.0869880118433022,84000016,USA,36000.81698203478,NA
Illinois,US,2021-03-05T05:31:07Z,40.3495,-88.9861,1193177,22902,NA,1170275,17,9415.986857768903,18389512,NA,1.919413465060088,84000017,USA,145121.30498055488,NA
Indiana,US,2021-03-05T05:31:07Z,39.8494,-86.2583,664446,12663,NA,651783,18,9869.643278093004,8133596,NA,1.9057982138503355,84000018,USA,120815.97464372445,NA
Iowa,US,2021-03-05T05:31:07Z,42.0115,-93.2105,337625,5536,318560,13529,19,10701.030405030633,1321446,NA,1.6396890040725658,84000019,USA,41883.25457121395,NA
Kansas,US,2021-03-05T05:31:07Z,38.5266,-96.7265,297474,4772,NA,292702,20,10210.845792798167,1264760,NA,1.6041738101481138,84000020,USA,43413.10274141407,NA
Kentucky,US,2021-03-05T05:31:07Z,37.6681,-84.6701,408440,4732,47992,355716,21,9142.119398622055,3954639,NA,1.1585545000489668,84000021,USA,88516.75133788887,NA
Louisiana,US,2021-03-05T05:31:07Z,31.1695,-91.8678,432527,9686,415954,6887,22,9304.068969285367,5654985,NA,2.2393977716998013,84000022,USA,121644.12963878375,NA
Maine,US,2021-03-05T05:31:07Z,44.6939,-69.3819,45231,705,12827,31699,23,3364.871017369284,1633308,NA,1.5586655170126682,84000023,USA,121506.7266175276,NA
Maryland,US,2021-03-05T05:31:07Z,39.0639,-76.8021,384765,7922,9691,367152,24,6364.29648939408,7982350,NA,2.0589190804776942,84000024,USA,132033.9482076458,NA
